nama_factor,deskripsi,urutan
"Organizational values","Faktor yang mengukur dimensi Organizational values dalam kesehatan organisasi.",1
"Leader involvement","Faktor yang mengukur dimensi Leader involvement dalam kesehatan organisasi.",2
"Institutional resources","Faktor yang mengukur dimensi Institutional resources dalam kesehatan organisasi.",3
"Operational stability","Faktor yang mengukur dimensi Operational stability dalam kesehatan organisasi.",4
"Work environment quality","Faktor yang mengukur dimensi Work environment quality dalam kesehatan organisasi.",5
"Economics performance","Faktor yang mengukur dimensi Economics performance dalam kesehatan organisasi.",6
